# detid average_r2s y_intercept_low_hits slope_low_hits y_intercept_high_hits slope_high_hits centroid_r centroid_phi centroid_z
411591806 2252.65899253 -158.620945896 3.29655301345 -166.70555518 3.2965263039 47.1665144574 -0.29366121873 -155.569952836
411612278 4815.14867083 -224.272949442 -3.2091067563 -241.164342146 -3.2091192358 69.1145404898 -2.83843277203 -152.657509294
411591802 2258.55887877 -97.6782326613 1.87086370308 -102.657962236 1.87087557673 47.1883001734 -0.492454205322 -157.444992293
411612270 4827.40964003 -1105.05237696 -16.5318209082 -1188.30862721 -16.5322682537 68.9782987297 -3.08111512034 -152.657553244
411612273 4929.48357526 -370.146886624 -5.45672658324 -398.033980916 -5.4568732579 69.0687322253 -2.96197002277 -154.147516003
420238466 2790.76917285 -73.1885648774 0.999997408115 -76.5081 1.0 52.8904892658 -0.786206366901 185.91001272
420238462 2795.55232082 -63.1778411192 0.700209880744 -66.0430814199 0.700204636077 52.8974195111 -0.95991682852 187.784951309
411608162 4001.52747165 -293.922534139 -4.59695927083 -304.956670857 -4.59682838922 63.5679604274 -2.92646750199 -157.444887441
420267154 10928.9204472 499.379565843 4.77009178932 524.013586169 4.77144664827 104.955982721 2.93514834133 182.997449992
420267157 10951.006925 828.426845085 8.02309241155 868.901879043 8.02166065219 104.750561305 3.01574918208 184.487520882
420529245 11236.6907953 106.906835494 0.297711487181 112.151096027 0.297753048211 104.692185147 1.86110160029 220.766371964
420529242 10916.0446974 104.690267204 0.209662466226 109.824350671 0.209657417175 104.73114552 1.77698340872 219.276419344
411874550 9332.8175335 -112.188733411 0.637068459829 -118.147095373 0.637073728946 97.1418604461 -1.00343344207 -186.012465997
412402734 10919.0066703 134.273918668 -0.846952331767 140.859245036 -0.846955785146 104.6587559 0.867468744272 -262.657397
420508846 3793.46906244 -284.251252264 4.59687451787 -295.300466201 4.59698786067 61.5267653356 -0.212854149152 224.06401204
412402737 10938.5311709 125.898478792 -0.713982473712 132.073547903 -0.713993971849 105.058826872 0.951025862444 -264.147465378
420508842 3797.97517111 -172.898691317 2.68106770998 -179.61870049 2.68112812351 61.5454112919 -0.356674454969 222.188900681
420017397 11011.9888153 -106.906969169 0.297715634934 -112.150082424 0.297719246506 104.870949832 -1.28299580114 154.147445187
420017394 10980.1417606 -104.690849306 0.209683599483 -109.824206177 0.209644039462 104.925505167 -1.36627094607 152.657581365
420521197 7345.5391571 -163.229754651 1.66840107371 -173.005747383 1.66842271712 86.153706684 -0.536772010176 220.766451773
420521194 7369.05757154 -140.871533726 1.34835099957 -149.305890316 1.34833509083 86.3164851888 -0.637474019455 219.276445597
412136657 9521.67330657 -96.9164080462 -0.221696160414 -102.063514262 -0.221699516029 97.0310638425 -1.79084338755 -223.781502836
412136654 9408.0798776 -99.2107625605 -0.315293902563 -104.479770131 -0.315299419561 97.0754290291 -1.87576662281 -222.291505091
420525298 9546.50632032 -106.671604581 0.520560718761 -112.33696175 0.520567024152 96.965952232 -1.09172047998 222.291401788
420525290 9397.98783467 -99.2108397907 0.315297290628 -104.479418546 0.315288338235 96.9630622685 -1.26695466991 222.291355969
420525293 9469.57351919 -102.415145465 0.414218331256 -107.853713572 0.414206004393 96.9880518368 -1.17707344381 223.781457422
411862041 4539.95004958 105.589755416 -1.27640561535 113.738151359 -1.27641351541 67.4823530765 0.664856763645 -184.487502821
412378162 3183.18107791 56.8050365665 0.240078954802 59.2188955409 0.240076135981 56.3453744619 1.80763622014 -264.430004754
411862046 4593.86009865 92.0929584701 -1.00001062838 99.1987929362 -0.999998516251 67.25721584 0.785681355422 -182.777432375
420775002 4542.63038768 125.873565541 1.65420034113 135.586586275 1.65419823657 67.474998681 2.59763093725 262.43739948
420775005 4512.57983274 158.667976307 2.22191557945 170.910976576 2.22190301214 67.4476563166 2.71883752955 264.147429259
411366625 11187.9891306 -103.254340069 -0.124579055889 -108.317955176 -0.124555463136 104.711407647 -1.696623221 -130.327421264
411366622 10973.6122396 -104.690619308 -0.209677861008 -109.824290004 -0.209650729067 104.887286518 -1.7784710019 -128.837374592
412386329 4596.65764126 105.589755435 -1.27640590328 113.738086937 -1.27641216221 67.3825926196 0.664450963137 -264.147383103
412386326 4554.60499122 125.874468024 -1.65421690645 135.586812994 -1.65420144969 67.3752171274 0.543855999296 -262.437476227
