# detid average_r2s y_intercept_low_hits slope_low_hits y_intercept_high_hits slope_high_hits
411591806 2220.16867469 -158.103584386 3.29655422422 -166.217904238 3.29655904166
411591802 2224.28374024 -97.3598468111 1.87086918017 -102.356491661 1.87086915128
420529249 10395.1548616 107.132337769 0.390202189021 112.526264099 0.390200366263
420529246 10415.0443967 104.132540733 0.297712498839 109.375568186 0.297715091909
420529245 10416.9174007 104.132511804 0.297711380681 109.375486755 0.297711958506
420529242 10407.576469 101.973828186 0.209678132199 107.108013452 0.209673505161
420529241 10375.1750356 101.97382583 0.209677861332 107.10792103 0.209668794231
420508846 3625.4369518 -277.86843689 4.596932819 -288.94888974 4.5969261812
420508842 3620.40722122 -169.016025857 2.6811010545 -175.755632178 2.68109365879
420521198 7085.6193825 -159.391516474 1.66839694056 -169.166218453 1.66840229203
420521197 7086.37627443 -159.39161768 1.66839839937 -169.166271319 1.6684030194
420521194 7113.94823855 -137.558747932 1.34834260936 -145.994222091 1.34834291763
420521193 7107.81188715 -137.558816675 1.34834373906 -145.99438852 1.34834526344
420521190 7160.2602068 -122.020100589 1.10332981579 -129.50258352 1.10332812807
412378162 3045.30799853 55.5245503791 0.240078837661 57.9468708758 0.240078170901
412378166 3048.97261084 58.4387844809 0.414213452785 60.9882485245 0.41421332736
420775002 4422.74310437 123.667297048 1.65420088879 133.380572641 1.65420243683
420775001 4425.43270949 123.667335663 1.65420158371 133.380458194 1.65420047482
420775006 4407.53427251 155.886416601 2.22190806267 168.130210021 2.22190849238
420775005 4413.63052534 155.886439325 2.22190837778 168.130209646 2.22190845557
420775009 4418.30737702 215.048515674 3.20910134776 231.939734531 3.20911181613
419755189 10384.433684 -194.972484462 -1.6782165683 -204.789371268 -1.6782190653
419755181 10487.1122672 -274.556175386 -2.56277618133 -288.380012541 -2.56277852822
419755182 10485.4380605 -274.556182557 -2.56277621183 -288.380270031 -2.56278113074
419755185 10390.0765554 -227.241446493 -2.04553691715 -238.682408816 -2.04553260573
419755186 10398.5407967 -227.241196836 -2.04553400478 -238.682238845 -2.04553084798
412402938 10468.7061989 -107.132306024 0.390201205841 -112.526290415 0.39020088517
412402937 10449.7524363 -107.132339486 0.390202166622 -112.526357365 0.390202703866
412402934 10413.1553243 -104.132509287 0.297711461752 -109.375421243 0.297710266218
412402933 10435.1611472 -104.132553132 0.297713073161 -109.375405251 0.297709928417
412402930 10422.3350899 -101.973824967 0.209678124331 -107.108267445 0.209686443088
412394625 7099.49419162 1670.02591069 20.3556143862 1772.40422632 20.3552457604
412394626 7109.44491217 1670.01075317 20.3554287663 1772.45387301 20.3558168247
412394621 7099.10032568 558.466384801 6.74148060965 592.704025437 6.74137646387
412394622 7100.12125878 558.464594088 6.74145864485 592.707720381 6.7414191446
412394629 7116.81382052 -1669.99582742 -20.3552459139 -1772.43284144 -20.3555752111
420783133 7121.91388241 137.558768158 -1.34834296912 145.994222069 -1.34834286293
420783130 7115.78553378 159.391376889 -1.66839494002 169.166034541 -1.66839982885
420783137 7143.57791047 122.020050941 -1.10332901813 129.50271865 -1.10333022364
420783134 7118.59982066 137.558771052 -1.3483430199 145.994420739 -1.34834571946
420783138 7129.35110138 122.020041958 -1.10332884293 129.502687012 -1.10332973539
411337778 3028.76747847 55.3751116598 0.240078318751 57.7974408723 0.240078358462
420000778 4728.44484153 368.517027985 -5.45686171463 396.393929442 -5.45685523883
420000773 4728.66120609 1100.18239984 -16.5321607387 1183.37631373 -16.5317114393
420000774 4732.17406337 1100.1656636 -16.5319084409 1183.39472909 -16.5319697919
420000777 4730.35628559 368.515955323 -5.4568452668 396.393051514 -5.4568426623
411866322 5870.51351076 -153.524286602 1.80936687751 -163.912253914 1.80936236531
411866321 5860.30079191 -153.52393126 1.80936142787 -163.912022296 1.80935910927
411866326 5846.20419799 -194.056919359 2.41420859844 -207.187671838 2.41420611692
411866325 5853.69105304 -194.057325942 2.41421454171 -207.187976922 2.41421032319
411866329 5860.03447707 -268.255720349 3.4710872295 -286.406050319 3.47107015728
419710066 1526.78106571 -338.277967185 8.87524926113 -359.314117561 8.87522660771
419710062 1527.02586138 -114.675982472 2.85783383752 -121.807707506 2.85783867121
412128434 5864.19883776 -75.3267901725 0.16990686126 -80.4238125865 0.169907319712
412128437 5879.10774603 -77.2829260608 0.288095032764 -82.5123087435 0.288095286116
412128430 5879.57506457 -74.3795165364 0.0561597706257 -79.4124372275 0.0561597812669
412128433 5862.1573413 -75.3267793812 0.169906050489 -80.4237984214 0.169906422502
412128438 5886.33491835 -77.2829257939 0.28809501932 -82.5123043731 0.288095077885
412402698 10406.6941623 806.866346836 -8.02246438965 847.493985463 -8.02249270654
412402693 10467.8168684 2415.09062634 -24.1777843892 2536.48062888 -24.1757992424
412402697 10406.8469672 806.870937938 -8.02251100399 847.462542124 -8.02219006351
412402694 10459.6944355 2415.12842716 -24.1781642771 2537.16957655 -24.1823820623
419972182 1530.23331806 -38.114750704 -0.112671692843 -40.4850574504 -0.112672548978
419972186 1524.44155958 -38.1147554688 0.112672083794 -40.4850614619 0.11267278867
411599922 3028.52353396 55.3751234029 0.240079154692 57.7974413582 0.240078226729
411599926 3028.52408704 58.2815187688 0.414213715104 60.8309996165 0.414214326306
