411309061,24.7523,3.84958,-129.174,26315,7,
411309062,24.7594,3.85985,-128.749,26381,7,
411309065,22.328,11.3815,-130.235,26778,7,
411309066,22.3236,11.3704,-130.573,26894,7,
411309069,17.7086,17.6965,-129.175,26649,7,
411309070,17.7281,17.6855,-128.749,26993,7,
411309073,11.4225,22.328,-130.235,26627,7,
411309074,11.4074,22.3327,-130.575,26410,7,
411309077,3.94866,24.8012,-129.173,26164,7,
411309078,3.9782,24.8075,-128.749,26146,7,
411309081,-3.96955,24.7535,-130.235,26705,7,
411309082,-3.96981,24.7541,-130.574,26705,7,
411309085,-11.384,22.3597,-129.174,26564,7,
411309086,-11.3826,22.3619,-128.749,26832,7,
411309089,-17.7851,17.7021,-130.235,26100,7,
411309090,-17.7694,17.71,-130.575,26312,7,
411309093,-22.3392,11.3953,-129.174,26308,7,
411309094,-22.3392,11.3988,-128.749,26425,7,
411309097,-24.7821,3.89029,-130.236,27648,7,
411309098,-24.7857,3.8935,-130.571,27754,7,
411309101,-24.7514,-3.8724,-129.176,27236,7,
411309102,-24.7437,-3.90571,-128.749,27365,7,
411309105,-22.3717,-11.2968,-130.235,26715,7,
411309106,-22.3735,-11.3028,-130.574,26707,7,
411309109,-17.75,-17.7036,-129.174,26397,7,
411309110,-17.7317,-17.7148,-128.749,26352,7,
411309113,-11.3812,-22.3459,-130.235,26636,7,
411309114,-11.3922,-22.3307,-130.574,26541,7,
411309117,-3.89669,-24.7536,-129.173,26128,7,
411309118,-3.88969,-24.7711,-128.749,26168,7,
411309121,3.93281,-24.7454,-130.235,27216,7,
411309122,3.92907,-24.749,-130.572,27270,7,
411309125,11.3603,-22.3621,-129.175,26907,7,
411309126,11.3678,-22.356,-128.749,27089,7,
411309129,17.7514,-17.6997,-130.235,27248,7,
411309130,17.7325,-17.71,-130.572,27309,7,
411309133,22.3187,-11.3965,-129.175,26939,7,
411309134,22.3239,-11.387,-128.749,26971,7,
411309137,24.7409,-3.92165,-130.235,26771,7,
411309138,24.7285,-3.92444,-130.574,26570,7,
411313157,29.8099,3.91904,-132.145,17716,7,
411313158,29.8198,3.89194,-131.75,17674,7,
411313161,27.7578,11.4906,-133.243,18113,7,
411313162,27.7661,11.4691,-133.612,18170,7,
411313165,23.8373,18.3406,-132.147,18106,7,
411313166,23.8301,18.3395,-131.75,17956,7,
411313169,18.3261,23.8041,-133.243,18177,7,
411313170,18.2999,23.822,-133.612,18177,7,
411313173,11.3976,27.7899,-132.147,18068,7,
411313174,11.4129,27.7739,-131.75,17990,7,
411313177,3.99164,29.7631,-133.244,18822,7,
411313178,3.99029,29.7665,-133.61,18622,7,
411313181,-3.91644,29.8032,-132.147,18108,7,
411313182,-3.92971,29.8117,-131.75,18072,7,
411313185,-11.5266,27.7663,-133.244,18711,7,
411313186,-11.5491,27.7596,-133.61,18553,7,
411313189,-18.2155,23.9057,-132.149,18396,7,
411313190,-18.247,23.8873,-131.75,18292,7,
411313193,-23.8628,18.2499,-133.243,18375,7,
411313194,-23.8721,18.2447,-133.611,18429,7,
411313197,-27.7518,11.4994,-132.148,18293,7,
411313198,-27.7554,11.4985,-131.75,18076,7,
411313201,-29.8175,3.85664,-133.243,18342,7,
411313202,-29.8044,3.88086,-133.611,18289,7,
411313205,-29.8245,-3.9079,-132.15,18594,7,
411313206,-29.8225,-3.91416,-131.75,18651,7,
411313209,-27.7543,-11.5166,-133.244,18696,7,
411313210,-27.7622,-11.5255,-133.61,18644,7,
411313213,-23.8877,-18.2579,-132.147,18078,7,
411313214,-23.8823,-18.253,-131.75,18079,7,
411313217,-18.2497,-23.8891,-133.244,18562,7,
411313218,-18.2439,-23.8973,-133.61,18469,7,
